i,j,tinisat,lingeling,dagster 2,dagster 3,dagster 5,dagster 9,dagster 17,dagster 33,dagster 65
35,2,5.723602772,13.07399249,3.916604042,3.260348797,3.341145515,3.314845085,3.532221794,3.740622997,4.506276608
35,3,36.36002374,43.86902237,13.08696389,10.43271542,8.973799229,8.736510038,9.313324928,9.740179777,11.33526659
35,4,95.62473083,169.3357809,35.65626764,23.271873,21.23798037,21.68269062,23.0851562,24.07794595,30.12323642
35,5,302.667726,304.0891972,139.3328562,94.16166353,71.19743013,66.94854712,69.44833088,75.2968936,96.94768143
35,6,283.3956819,366.5493233,65.44853973,41.26895738,33.16658783,31.97356081,32.96833038,34.92363143,45.41234851
35,7,705.2254062,649.1454661,194.8703496,114.2590277,75.87357116,68.23875666,67.7922895,76.01309347,99.47756052
35,8,812.1201565,858.4220641,142.9753995,88.48532653,64.73526359,62.39258552,64.57575202,69.99555159,91.53103304
35,9,1421.302677,1235.072258,299.0185513,173.8070698,116.3901665,102.6290836,100.9907048,111.5671926,130.3745329
36,1,4.460016727,4.817651272,5.442696095,5.13309598,5.332502127,5.545624018,5.779313326,6.213289976,7.821023226
36,2,20.93079329,47.76329112,12.6440022,9.332230806,7.56081295,8.130759716,8.261313677,8.967669964,10.22010398
36,3,29.12728214,32.1551652,19.82517409,13.75603652,14.98123598,15.30737853,15.45572758,16.44129491,20.08594847
36,4,72.66932321,251.0594256,21.10542226,14.31331873,12.1385181,12.35872316,12.60822511,13.54843926,17.04335475
36,5,216.2680993,295.5985389,100.3994398,59.50373745,42.95282936,45.30141044,46.17602706,48.70215034,62.86582112
36,6,245.1880643,490.6623235,54.66371775,35.41817069,29.24253774,30.38318992,30.45728135,32.45691562,42.49727416
36,7,464.606355,655.6482146,112.7772937,68.14501166,54.11438131,49.45382595,51.36365986,55.30693007,71.98964906
36,8,1326.56565,995.0111346,308.0297451,178.4252584,107.9535303,94.55782795,100.5745554,113.5865407,148.3823023
36,9,1171.264504,1282.117592,188.2342958,115.8127258,87.90543413,81.13358045,79.98143363,88.64885426,101.1706865
37,1,1.733820438,3.011767864,1.3831985,2.105198145,2.056414604,2.179073095,2.36622715,2.501580954,2.736517429
37,2,10.87415504,15.10369897,4.361155033,3.952208281,3.681429148,3.885388613,4.144960165,4.368163586,5.368919373
37,3,34.29460263,65.14802027,13.39344168,9.908834219,9.480689049,9.070449829,9.668208599,10.45288396,12.31351757
37,4,86.02768874,151.2730861,29.56488228,20.99705982,16.16604877,18.19166398,17.02885914,20.16450357,24.2553761
37,5,176.4469972,285.0163422,41.18666553,27.21980786,23.5360961,24.5830605,24.50703382,25.93579626,33.89279699
37,6,469.0233254,441.5995266,179.8594723,96.20444822,69.85665298,68.61099339,69.42334127,74.26723289,96.41760373
37,7,563.5982897,615.5890105,161.7672873,95.57721925,65.89799833,67.05209613,71.19198895,77.63001847,104.8621187
37,8,897.7349958,833.1084528,207.1540489,117.2075267,84.91395211,75.48105836,77.46204829,83.60685396,110.8276091
37,9,1865.602077,1470.721946,417.4764853,239.4444873,150.2119758,135.7931743,131.0357831,150.4621494,186.8362427
38,1,3.281114101,2.619036436,2.145432472,2.117341995,2.136771917,2.337931395,2.438824415,2.553133488,3.13245821
38,2,17.92353821,10.45885921,9.562898159,7.981583118,8.124052525,8.346995115,8.987824202,9.577181101,12.07524061
38,3,27.14288831,29.00119233,10.67286301,7.972678661,7.456503153,7.63737154,7.957995415,9.290277243,11.22769403
38,4,100.2388785,154.9312005,34.23300982,21.97317243,19.86348629,18.50945854,20.40960622,22.4281404,26.5079937
38,5,275.9094627,315.0064425,84.17651939,51.2120254,40.57076216,41.60993457,42.59793854,45.91922021,58.20035577
38,6,296.3808472,430.5156553,88.13505721,51.35808587,38.29890084,39.31477666,40.91973329,42.46286488,56.90414071
38,7,632.4150863,570.2532036,145.3255866,87.39561892,58.88561153,58.04445028,60.07334995,65.18986011,85.89079237
38,8,883.0301571,863.4005117,166.3760202,97.27839518,71.05100632,70.11327052,71.54386377,76.68555856,101.2106667
38,9,1273.665405,1366.969962,208.3850346,126.0317256,89.98432183,86.47585893,88.3732717,95.56312037,109.4758046
39,1,6.354276896,2.867994785,7.197550535,7.144995451,7.340406418,7.674377441,8.074890375,8.640859842,10.66940379
39,2,10.61990666,13.30379438,4.378723145,4.25986743,3.556695938,3.977411032,4.066688776,4.288564444,4.584874153
39,3,43.61636472,68.34498048,35.43415952,28.8551147,26.17046762,26.09315705,27.94094038,29.16901112,36.11310244
39,4,61.69081283,88.84825277,23.55671477,17.24222612,15.78873038,16.33116245,16.42777872,17.40568686,21.62159753
39,5,316.3780987,321.7484932,114.1804147,67.39263391,47.45391583,48.10018826,46.57176113,49.05005932,62.72785211
39,6,400.3538506,361.9092441,90.70440531,55.52307653,42.19741297,39.62483668,41.30789614,42.77340674,55.49211597
39,7,567.8967674,593.7926426,132.0273571,80.66718626,54.80212569,51.88174534,52.5324173,56.81913829,75.61801171
39,8,972.3052254,890.0578091,157.2004042,91.4168191,69.02146554,64.75553226,66.0846777,71.24529266,93.3373692
